Latitude,Longitude,Quartier,Type_Logement,Prix_Nuit,Nuits_Minimum
45.51939,-73.56482,Ville-Marie,Entire home/apt,134.0,31
45.51929,-73.56493,Ville-Marie,Entire home/apt,253.0,2
45.54157,-73.60737,Rosemont-La Petite-Patrie,Entire home/apt,156.0,3
45.50584,-73.55602,Ville-Marie,Entire home/apt,146.0,31
45.46133041381836,-73.62896728515625,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,57.0,32
45.5019,-73.56354,Ville-Marie,Entire home/apt,90.0,31
45.47812,-73.55698,Le Sud-Ouest,Entire home/apt,386.0,32
45.51856,-73.57756,Le Plateau-Mont-Royal,Entire home/apt,233.0,31
45.51933,-73.57472,Le Plateau-Mont-Royal,Entire home/apt,190.0,5
45.53971,-73.61943,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,130.0,31
45.52663,-73.60145,Le Plateau-Mont-Royal,Entire home/apt,347.0,2
45.52851,-73.58224,Le Plateau-Mont-Royal,Entire home/apt,140.0,32
45.461334228515625,-73.62901306152344,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,75.0,32
45.528545,-73.579308,Le Plateau-Mont-Royal,Entire home/apt,168.0,2
45.5391,-73.56018,Le Plateau-Mont-Royal,Entire home/apt,67.0,31
45.54673,-73.57181,Rosemont-La Petite-Patrie,Entire home/apt,95.0,31
45.528431,-73.578979,Le Plateau-Mont-Royal,Entire home/apt,293.0,2
45.49406,-73.62555,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,60.0,31
45.50312,-73.56346,Ville-Marie,Entire home/apt,145.0,31
45.49172,-73.6247,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,170.0,31
45.53217,-73.58388,Le Plateau-Mont-Royal,Entire home/apt,190.0,21
45.41282,-73.90712,Baie-d'Urfé,Entire home/apt,140.0,31
45.53839,-73.61759,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,89.0,31
45.52991,-73.58205,Le Plateau-Mont-Royal,Entire home/apt,140.0,32
45.55275,-73.60055,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,75.0,32
45.5467,-73.57182,Rosemont-La Petite-Patrie,Entire home/apt,160.0,31
45.52912,-73.57694,Le Plateau-Mont-Royal,Entire home/apt,92.0,90
45.4807409,-73.5575752,Le Sud-Ouest,Entire home/apt,179.0,2
45.54809030000001,-73.5774272,Rosemont-La Petite-Patrie,Entire home/apt,161.0,31
45.54967,-73.58588,Rosemont-La Petite-Patrie,Entire home/apt,64.0,31
45.52459,-73.59616,Le Plateau-Mont-Royal,Entire home/apt,110.0,180
45.52916,-73.57174,Le Plateau-Mont-Royal,Entire home/apt,54.0,31
45.52979,-73.58235,Le Plateau-Mont-Royal,Entire home/apt,90.0,90
45.5519,-73.57544,Rosemont-La Petite-Patrie,Entire home/apt,55.0,31
45.51746,-73.67184,Saint-Laurent,Entire home/apt,82.0,31
45.53461,-73.57076,Le Plateau-Mont-Royal,Entire home/apt,180.0,5
45.51614,-73.581,Le Plateau-Mont-Royal,Entire home/apt,150.0,3
45.53537,-73.61192,Rosemont-La Petite-Patrie,Entire home/apt,241.0,31
45.50922,-73.5519,Ville-Marie,Entire home/apt,143.0,31
45.53686,-73.62401,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,100.0,32
45.5137,-73.57614,Le Plateau-Mont-Royal,Entire home/apt,129.0,180
45.52952,-73.59487,Le Plateau-Mont-Royal,Entire home/apt,72.0,45
45.4873,-73.5733,Le Sud-Ouest,Entire home/apt,64.0,31
45.53666,-73.58142,Le Plateau-Mont-Royal,Entire home/apt,92.0,4
45.5309,-73.56854,Le Plateau-Mont-Royal,Entire home/apt,83.0,31
45.54028,-73.61814,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,71.0,32
45.53826,-73.5707,Le Plateau-Mont-Royal,Entire home/apt,84.0,31
45.51757,-73.55598,Ville-Marie,Entire home/apt,167.0,2
