arrondissement,population_2016,densite_2016,age_moyen_2016,revenu_median_2016,revenu_apres_impot_2016,loyer_median_2016,loyer_moyen_2016,valeur_logement_2016,faible_revenu_pct_2016,pct_loc_30plus_2016,pct_locataires_2016,pct_proprietaires_2016,pct_immigrants_rec_2016,population_2021,densite_2021,age_moyen_2021,revenu_median_2021,revenu_apres_impot_2021,loyer_median_2021,loyer_moyen_2021,valeur_logement_2021,faible_revenu_pct_2021,pct_loc_30plus_2021,pct_locataires_2021,pct_proprietaires_2021,pct_immigrants_rec_2021,croissance_pop_16_21,Augmentation_Loyer_16_21,Augmentation_Valeur_16_21,Augmentation_Revenu_16_21,Delta_Pct_Locataires,Delta_Faible_Revenu,Ratio_Loyer_Revenu_2021,Ratio_Loyer_Revenu_2016,Delta_Ratio_Loyer_Revenu
Ahuntsic-Cartierville,134245.0,6580.966666666666,41.88275862068965,30464.827586206895,27839.758620689656,700.7241379310345,750.8965517241379,449895.8620689655,20.95862068965517,32.3448275862069,58.63890079835747,41.36109920164253,9.08526812012343,135336.0,6692.693333333334,42.016666666666666,35500.0,31986.666666666668,837.7586206896551,886.7586206896551,609655.1724137932,15.97,24.70344827586207,60.54175596969055,39.45824403030945,6.646508250049197,0.008126932101754256,0.19556124206485884,0.3551028667170488,0.16527821795626393,1.90285517133308,-4.9886206896551695,28.318601262748906,27.60130393444108,0.7172973283078257
Anjou,42796.0,6220.611111111111,43.36666666666667,30894.0,28205.666666666668,799.7777777777778,829.1111111111111,362971.1111111111,17.288888888888888,30.43333333333333,57.868507017079274,42.131492982920726,7.94467318446589,43243.0,6316.877777777778,43.077777777777776,35488.88888888889,32244.444444444445,880.5555555555555,893.5555555555555,464444.44444444444,13.077777777777778,22.0,58.793017646002305,41.20698235399769,6.420463399840963,0.010444901392653519,0.10100027785495963,0.27956311184850946,0.14873078555346964,0.9245106289230307,-4.21111111111111,29.774577332498435,31.0653632852118,-1.2907859527133638
Côte-des-Neiges-Notre-Dame-de-Grâce,160830.0,10013.202564102565,38.91842105263158,28157.71052631579,25903.236842105263,836.0263157894736,899.9473684210526,515360.9736842105,26.313157894736843,40.0921052631579,70.77326372402663,29.22673627597336,10.893859094873452,163246.0,10163.382051282051,39.847368421052636,32557.894736842107,29684.21052631579,950.0,1046.2631578947369,697921.052631579,19.707894736842103,31.42105263157895,71.04326238364285,28.956737616357138,8.568669390472218,0.01502207299633153,0.13632786678837866,0.35423729826161204,0.15626924662123962,0.2699986596162205,-6.60526315789474,35.014548981571295,35.62901813376349,-0.6144691521921928
LaSalle,76853.0,5465.4473684210525,41.96842105263158,28782.736842105263,26521.157894736843,778.0526315789474,799.9473684210526,415543.2631578947,19.88421052631579,30.710526315789473,61.77999985212273,38.22000014787728,7.057951201313653,82235.0,5793.936842105263,42.21578947368421,32473.684210526317,29736.842105263157,873.421052631579,915.8421052631579,584111.1111111111,15.86315789473684,23.95263157894737,63.47791431535687,36.52208568464314,5.450483399194993,0.07002979714519927,0.12257322600284107,0.40565655347699714,0.12823476060211533,1.6979144632341416,-4.02105263157895,32.27552674230146,32.438303661551515,-0.16277691925005655
Lachine,44489.0,4255.527272727273,41.99090909090909,31602.363636363636,28442.454545454544,743.4545454545455,766.7272727272727,337268.2727272727,22.290909090909093,33.77272727272727,59.48392510508331,40.51607489491669,4.086876001456671,46428.0,4439.936363636364,41.91818181818182,36472.72727272727,32545.454545454544,851.3636363636364,892.7272727272727,462727.2727272727,16.981818181818184,24.436363636363637,59.61384574291866,40.38615425708134,3.8529019606092105,0.043583807233248666,0.1451455123502078,0.37198577555336987,0.1541139040232894,0.12992063783535457,-5.309090909090909,28.010967098703887,28.230339502798984,-0.21937240409509684
Le Plateau-Mont-Royal,104000.0,14008.581250000001,37.263829787234044,31546.382978723403,28460.936170212764,907.7234042553191,977.7659574468086,423064.5319148936,24.112765957446808,41.57446808510638,70.71054439827157,29.289455601728434,6.305346572501495,105813.0,14334.956250000001,37.62978723404255,36021.27659574468,32174.468085106382,1056.8085106382978,1146.2340425531916,588489.3617021276,19.761702127659575,34.40425531914894,70.29697256987568,29.703027430124326,5.930907149934944,0.01743269230769231,0.1642406769331739,0.39101559527687363,0.14185124234494306,-0.413571828395888,-4.351063829787233,35.20614294152392,34.529095961367254,0.6770469801566676
Le Sud-Ouest,78151.0,7534.385714285714,38.3,29994.84,27331.0,763.0,810.16,369431.24,27.328000000000003,30.304000000000002,66.74212751490464,33.25787248509537,4.775133452348874,84553.0,8246.978571428572,38.988,35848.0,32328.0,885.72,973.28,532400.0,19.555999999999997,23.476,67.50284188960804,32.49715811039197,4.2509059323489415,0.0819183375772543,0.16083879423328967,0.44113421485416343,0.1951388972236558,0.7607143747033973,-7.772000000000006,29.649185449676413,30.525250343059003,-0.8760648933825905
Mercier-Hochelaga-Maisonneuve,120922.0,7548.413513513513,40.97777777777778,29272.61111111111,26782.527777777777,721.4166666666666,760.2222222222222,326562.0833333333,22.927777777777777,32.61388888888889,68.04753272634125,31.952467273658744,4.62692426978942,140627.0,7740.9853658536595,40.4525,35035.0,31560.0,815.375,858.75,440950.0,16.6225,22.4925,66.69731839309068,33.30268160690931,4.065348846420695,0.1629562858702304,0.1302414231257942,0.3502792348060413,0.19685257550193874,-1.3502143332505625,-6.305277777777778,27.927786499215067,29.573719840503166,-1.6459333412880994
Montréal-Nord,84234.0,8364.783333333333,41.083333333333336,23406.61111111111,22459.055555555555,717.7777777777778,753.4444444444445,333574.1111111111,28.022222222222222,37.166666666666664,71.57418323416555,28.425816765834465,8.919593357974248,88471.0,8815.633333333333,40.894444444444446,27833.333333333332,26288.88888888889,790.2777777777778,828.1666666666666,419000.0,20.144444444444446,24.02777777777778,71.69345736741589,28.306542632584108,4.98139562776641,0.05030035377638483,0.10100619195046438,0.25609268238575666,0.18912273123215428,0.11927413325034308,-7.877777777777776,34.07185628742515,36.79872020962739,-2.7268639222022415
Outremont,23954.0,9145.8375,38.675,47298.25,40290.125,1317.375,1331.625,839986.625,12.35,39.9,44.633232212804685,55.36676778719531,5.1115890980770855,24629.0,9632.2125,39.2375,54300.0,45087.5,1550.0,1647.25,1114375.0,9.775,32.6875,43.73177677992981,56.26822322007019,3.5502682593061703,0.028179009768723385,0.17658221842679572,0.32665802863230115,0.1480340181719197,-0.9014554328748758,-2.5749999999999993,34.25414364640884,33.42301247932006,0.8311311670887847
