CTUID,arrondissement
4620725.07,
4620652.04,
4620887.05,
4620887.06,
4620887.07,
4620688.03,
4620688.04,
4620001.00,Mercier-Hochelaga-Maisonneuve
4620002.00,Mercier-Hochelaga-Maisonneuve
4620003.00,Mercier-Hochelaga-Maisonneuve
4620004.00,Mercier-Hochelaga-Maisonneuve
4620005.00,Mercier-Hochelaga-Maisonneuve
4620006.00,Mercier-Hochelaga-Maisonneuve
4620007.00,Mercier-Hochelaga-Maisonneuve
4620008.00,Mercier-Hochelaga-Maisonneuve
4620009.00,Mercier-Hochelaga-Maisonneuve
4620010.00,Mercier-Hochelaga-Maisonneuve
4620011.00,Mercier-Hochelaga-Maisonneuve
4620013.00,Mercier-Hochelaga-Maisonneuve
4620015.00,Mercier-Hochelaga-Maisonneuve
4620016.00,Mercier-Hochelaga-Maisonneuve
4620017.00,Mercier-Hochelaga-Maisonneuve
4620018.00,Mercier-Hochelaga-Maisonneuve
4620019.00,Mercier-Hochelaga-Maisonneuve
4620021.00,Mercier-Hochelaga-Maisonneuve
4620022.00,Mercier-Hochelaga-Maisonneuve
4620023.00,Mercier-Hochelaga-Maisonneuve
4620024.00,Mercier-Hochelaga-Maisonneuve
4620025.00,Mercier-Hochelaga-Maisonneuve
4620026.00,Mercier-Hochelaga-Maisonneuve
4620027.00,Mercier-Hochelaga-Maisonneuve
4620028.00,Mercier-Hochelaga-Maisonneuve
4620029.00,Mercier-Hochelaga-Maisonneuve
4620030.00,Mercier-Hochelaga-Maisonneuve
4620031.00,Mercier-Hochelaga-Maisonneuve
4620032.00,Ville-Marie
4620033.00,Ville-Marie
4620034.00,Ville-Marie
4620035.00,Ville-Marie
4620036.00,Ville-Marie
4620037.00,Ville-Marie
4620038.00,Ville-Marie
4620039.00,Ville-Marie
4620040.00,Ville-Marie
4620041.00,Ville-Marie
4620042.00,Ville-Marie
4620043.00,Ville-Marie
4620044.00,Ville-Marie
4620045.00,Ville-Marie
4620046.00,Ville-Marie
4620047.00,Ville-Marie
4620048.00,Ville-Marie
4620049.00,Ville-Marie
4620050.00,Ville-Marie
4620051.00,Ville-Marie
4620052.00,Ville-Marie
4620053.00,Ville-Marie
4620054.00,Ville-Marie
4620056.00,Ville-Marie
4620057.00,Ville-Marie
4620058.00,Ville-Marie
4620059.00,Ville-Marie
4620060.00,Ville-Marie
4620061.00,Ville-Marie
4620062.00,Ville-Marie
4620063.00,Ville-Marie
4620064.00,Ville-Marie
4620067.00,Le Sud-Ouest
4620068.00,Le Sud-Ouest
4620071.00,Le Sud-Ouest
4620072.00,Le Sud-Ouest
4620073.00,Le Sud-Ouest
4620074.00,Le Sud-Ouest
4620075.00,Le Sud-Ouest
4620076.00,Le Sud-Ouest
4620077.00,Le Sud-Ouest
4620078.00,Le Sud-Ouest
4620079.00,Le Sud-Ouest
4620080.00,Le Sud-Ouest
4620081.00,Le Sud-Ouest
4620082.00,Le Sud-Ouest
4620083.00,Le Sud-Ouest
4620084.00,Le Sud-Ouest
4620085.00,Le Sud-Ouest
4620086.00,Le Sud-Ouest
4620087.00,Le Sud-Ouest
4620088.00,Le Sud-Ouest
4620089.00,Le Sud-Ouest
4620090.00,Le Sud-Ouest
4620091.00,Le Sud-Ouest
4620092.00,Le Sud-Ouest
4620093.00,Le Sud-Ouest
4620095.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620096.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620098.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620099.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620102.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620103.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620104.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620105.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620106.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620107.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620108.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620109.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620110.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620111.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620113.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620114.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620116.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620117.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620118.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620119.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620121.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620122.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620123.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620124.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620125.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620126.00,Côte-des-Neiges-Notre-Dame-de-Grâce
4620128.00,Ville-Marie
4620130.00,Le Plateau-Mont-Royal
4620131.00,Le Plateau-Mont-Royal
4620132.00,Le Plateau-Mont-Royal
4620133.00,Le Plateau-Mont-Royal
4620134.00,Le Plateau-Mont-Royal
4620135.00,Le Plateau-Mont-Royal
4620136.00,Le Plateau-Mont-Royal
4620137.00,Le Plateau-Mont-Royal
4620138.00,Le Plateau-Mont-Royal
4620139.00,Le Plateau-Mont-Royal
4620140.00,Le Plateau-Mont-Royal
4620141.00,Le Plateau-Mont-Royal
4620142.00,Le Plateau-Mont-Royal
4620143.00,Le Plateau-Mont-Royal
4620144.00,Le Plateau-Mont-Royal
4620145.00,Le Plateau-Mont-Royal
4620146.00,Le Plateau-Mont-Royal
4620147.00,Le Plateau-Mont-Royal
4620148.00,Le Plateau-Mont-Royal
4620149.00,Le Plateau-Mont-Royal
4620150.00,Le Plateau-Mont-Royal
4620151.00,Le Plateau-Mont-Royal
4620152.00,Le Plateau-Mont-Royal
4620153.00,Le Plateau-Mont-Royal
4620154.00,Le Plateau-Mont-Royal
4620155.00,Le Plateau-Mont-Royal
4620156.00,Le Plateau-Mont-Royal
4620157.00,Le Plateau-Mont-Royal
4620158.00,Le Plateau-Mont-Royal
4620159.00,Le Plateau-Mont-Royal
4620160.00,Le Plateau-Mont-Royal
4620161.00,Le Plateau-Mont-Royal
4620162.00,Le Plateau-Mont-Royal
4620163.00,Le Plateau-Mont-Royal
4620164.00,Le Plateau-Mont-Royal
4620165.00,Le Plateau-Mont-Royal
4620166.00,Rosemont-La Petite-Patrie
4620167.00,Le Plateau-Mont-Royal
4620168.00,Le Plateau-Mont-Royal
4620169.00,Le Plateau-Mont-Royal
4620170.00,Le Plateau-Mont-Royal
4620171.00,Le Plateau-Mont-Royal
4620172.00,Le Plateau-Mont-Royal
4620173.00,Le Plateau-Mont-Royal
4620174.00,Le Plateau-Mont-Royal
4620175.00,Le Plateau-Mont-Royal
4620176.00,Le Plateau-Mont-Royal
4620177.00,Le Plateau-Mont-Royal
4620178.00,Le Plateau-Mont-Royal
4620179.00,Rosemont-La Petite-Patrie
4620180.00,Rosemont-La Petite-Patrie
4620181.00,Rosemont-La Petite-Patrie
4620182.00,Rosemont-La Petite-Patrie
4620183.00,Rosemont-La Petite-Patrie
4620184.00,Rosemont-La Petite-Patrie
4620185.00,Rosemont-La Petite-Patrie
4620186.00,Rosemont-La Petite-Patrie
4620189.00,Rosemont-La Petite-Patrie
4620191.00,Mercier-Hochelaga-Maisonneuve
4620192.00,Mercier-Hochelaga-Maisonneuve
4620193.00,Mercier-Hochelaga-Maisonneuve
4620196.00,Rosemont-La Petite-Patrie
4620197.00,Rosemont-La Petite-Patrie
4620198.00,Rosemont-La Petite-Patrie
4620199.00,Rosemont-La Petite-Patrie
4620200.00,Rosemont-La Petite-Patrie
4620201.00,Rosemont-La Petite-Patrie
4620202.00,Rosemont-La Petite-Patrie
4620203.00,Rosemont-La Petite-Patrie
4620204.00,Rosemont-La Petite-Patrie
4620205.00,Rosemont-La Petite-Patrie
4620206.00,Rosemont-La Petite-Patrie
4620207.00,Rosemont-La Petite-Patrie
4620208.00,Rosemont-La Petite-Patrie
4620209.00,Rosemont-La Petite-Patrie
4620210.00,Rosemont-La Petite-Patrie
4620211.00,Rosemont-La Petite-Patrie
4620212.00,Rosemont-La Petite-Patrie
4620213.00,Rosemont-La Petite-Patrie
4620214.00,Rosemont-La Petite-Patrie
4620215.00,Rosemont-La Petite-Patrie
4620216.00,Rosemont-La Petite-Patrie
4620217.00,Rosemont-La Petite-Patrie
4620218.00,Rosemont-La Petite-Patrie
4620219.00,Rosemont-La Petite-Patrie
4620220.00,Villeray-Saint-Michel-Parc-Extension
4620221.00,Villeray-Saint-Michel-Parc-Extension
4620222.00,Villeray-Saint-Michel-Parc-Extension
4620224.00,Villeray-Saint-Michel-Parc-Extension
4620225.00,Villeray-Saint-Michel-Parc-Extension
4620226.00,Villeray-Saint-Michel-Parc-Extension
4620227.00,Villeray-Saint-Michel-Parc-Extension
4620228.00,Villeray-Saint-Michel-Parc-Extension
4620229.00,Villeray-Saint-Michel-Parc-Extension
4620230.00,Villeray-Saint-Michel-Parc-Extension
4620231.00,Villeray-Saint-Michel-Parc-Extension
4620232.00,Villeray-Saint-Michel-Parc-Extension
4620233.00,Villeray-Saint-Michel-Parc-Extension
4620234.00,Villeray-Saint-Michel-Parc-Extension
4620235.00,Villeray-Saint-Michel-Parc-Extension
4620236.00,Villeray-Saint-Michel-Parc-Extension
4620237.00,Villeray-Saint-Michel-Parc-Extension
4620238.00,Villeray-Saint-Michel-Parc-Extension
4620239.00,Villeray-Saint-Michel-Parc-Extension
4620240.00,Villeray-Saint-Michel-Parc-Extension
4620241.00,Villeray-Saint-Michel-Parc-Extension
4620242.00,Villeray-Saint-Michel-Parc-Extension
4620243.00,Villeray-Saint-Michel-Parc-Extension
4620244.00,Villeray-Saint-Michel-Parc-Extension
4620245.00,Villeray-Saint-Michel-Parc-Extension
4620247.00,Rosemont-La Petite-Patrie
4620249.00,Villeray-Saint-Michel-Parc-Extension
4620250.00,Villeray-Saint-Michel-Parc-Extension
4620252.00,Villeray-Saint-Michel-Parc-Extension
4620253.00,Villeray-Saint-Michel-Parc-Extension
4620254.00,Villeray-Saint-Michel-Parc-Extension
4620256.00,Villeray-Saint-Michel-Parc-Extension
4620257.00,Villeray-Saint-Michel-Parc-Extension
4620258.00,Villeray-Saint-Michel-Parc-Extension
4620259.00,Villeray-Saint-Michel-Parc-Extension
4620260.00,Villeray-Saint-Michel-Parc-Extension
