Arrondissement;Evictions_Proxy_2023;Source;Periode
Rosemont-La Petite-Patrie;591;RCLALQ 2023;2022-07-01_2023-06-30
Le Plateau-Mont-Royal;391;RCLALQ 2023;2022-07-01_2023-06-30
Ahuntsic-Cartierville;217;RCLALQ 2023;2022-07-01_2023-06-30
Mercier-Hochelaga-Maisonneuve;204;RCLALQ 2023;2022-07-01_2023-06-30
Villeray-Saint-Michel-Parc-Extension;215;RCLALQ 2023;2022-07-01_2023-06-30
Côte-des-Neiges-Notre-Dame-de-Grâce;190;RCLALQ 2023;2022-07-01_2023-06-30
Montréal-Nord;135;RCLALQ 2023;2022-07-01_2023-06-30
Le Sud-Ouest;95;RCLALQ 2023;2022-07-01_2023-06-30
Ville-Marie;94;RCLALQ 2023;2022-07-01_2023-06-30
Verdun;85;RCLALQ 2023;2022-07-01_2023-06-30
Rivière-des-Prairies-Pointe-aux-Trembles;66;RCLALQ 2023;2022-07-01_2023-06-30
Saint-Léonard;10;RCLALQ 2023;2022-07-01_2023-06-30
LaSalle;13;RCLALQ 2023;2022-07-01_2023-06-30
