Arrondissement,Latitude,Longitude,Nombre_Articles,Mots_Cles_Trouves,Extrait_Article
Villeray-Saint-Michel-Parc-Extension,45.5371039,-73.6251264,9,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...les locataires vulnérables de Parc-Extension Le nombre des reprises de logement de mauvaise foi croît dans le quartier Parc- Extension, à Montréal. Sa populati..."
Ville-Marie,45.5010803,-73.5681257,8,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
Mercier-Hochelaga-Maisonneuve,45.5789646,-73.5384465,7,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...uveau projet de loi pour protéger les locataires contre les évictions, les premiers mots de la ministre de l'Habitation, France-Élaine Duranceau, ont été pour r..."
Ahuntsic-Cartierville,45.5418621,-73.6803193,6,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé",...a Presse (site web) 4 juin 2025 Solidarité Ahuntsic évite l’éviction… pour l’instant La table de concertation Solidarité Ahuntsic (SA) ainsi que douze organisme...
Le Plateau-Mont-Royal,45.5218361,-73.5821731,6,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...cataires se sentent « dépossédés » Avis de travaux majeurs, reprise de logement, « problèmes incessants » : des locataires d’un sixplex du Plateau Mont-Royal se..."
LaSalle,45.4325141,-73.6292667,6,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
Saint-Laurent,45.5088774,-73.6875187,6,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
Rosemont-La Petite-Patrie,45.5507465,-73.5822897,6,"démolition, déménagement forcé, embourgeoisement, eviction, evince, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renoviction, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...Journal de Montréal 15 novembre 2024 DÉLAISSÉE ET PEUT-ÊTRE ÉVINCÉE À 82 ANS SEULE ET SOUFFRANTE, L'OCTOGÉNAIRE HABITE UN LOGEMENT INSALUBRE DONT ELLE NE PEUT S..."
Verdun,45.459099,-73.5731712,4,"démolition, déménagement forcé, embourgeoisement, eviction, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé",...024 HÉBERGEMENT Logement : LOCATAIRES DEPUIS PLUS DE 25 ANS ÉVINCÉS DANS VERDUN «Je n'en reviens pas encore qu'on se fasse pousser dehors par notre propre gouve...
Côte-des-Neiges-Notre-Dame-de-Grâce,45.4821002,-73.6249638,3,"démolition, déménagement forcé, embourgeoisement, eviction, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
Le Sud-Ouest,45.484268,-73.5649867,3,"démolition, déménagement forcé, embourgeoisement, eviction, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
Lachine,45.435114,-73.6837987,2,"démolition, déménagement forcé, embourgeoisement, eviction, expulsant, expulse, expulsent, expulser, expulsion, expulsions, expulsé, expulsée, expulsées, expulsés, gentrification, renovictions, reprise de logement, reprises de logement, rénoviction, rénovictions, éviction, évincer, évincé","...de Philadelphie. Dans la 4e saison, l'équipe fait face à l'embourgeoisement, ce qui ne change pas ses budgets, et Janine assume sa relation avec Gregory, un pr..."
