arrondissement,annee,nb_permis
Ahuntsic - Cartierville,2016,54
Ahuntsic - Cartierville,2017,57
Ahuntsic - Cartierville,2018,60
Ahuntsic - Cartierville,2019,95
Ahuntsic - Cartierville,2020,71
Ahuntsic - Cartierville,2021,81
Ahuntsic - Cartierville,2022,56
Ahuntsic - Cartierville,2023,73
Anjou,2016,9
Anjou,2017,10
Anjou,2018,33
Anjou,2019,18
Anjou,2020,41
Anjou,2021,71
Anjou,2022,49
Anjou,2023,38
Côte-des-Neiges - Notre-Dame-de-Grâce,2016,114
Côte-des-Neiges - Notre-Dame-de-Grâce,2017,114
Côte-des-Neiges - Notre-Dame-de-Grâce,2018,113
Côte-des-Neiges - Notre-Dame-de-Grâce,2019,149
Côte-des-Neiges - Notre-Dame-de-Grâce,2020,118
Côte-des-Neiges - Notre-Dame-de-Grâce,2021,215
Côte-des-Neiges - Notre-Dame-de-Grâce,2022,144
Côte-des-Neiges - Notre-Dame-de-Grâce,2023,92
L'Île-Bizard - Sainte-Geneviève,2016,14
L'Île-Bizard - Sainte-Geneviève,2017,5
L'Île-Bizard - Sainte-Geneviève,2018,11
L'Île-Bizard - Sainte-Geneviève,2019,14
L'Île-Bizard - Sainte-Geneviève,2020,7
L'Île-Bizard - Sainte-Geneviève,2021,10
L'Île-Bizard - Sainte-Geneviève,2022,12
L'Île-Bizard - Sainte-Geneviève,2023,12
Lachine,2020,1
Lachine,2021,23
Lachine,2022,23
Lachine,2023,36
Le Plateau-Mont-Royal,2016,172
Le Plateau-Mont-Royal,2017,177
Le Plateau-Mont-Royal,2018,142
Le Plateau-Mont-Royal,2019,176
Le Plateau-Mont-Royal,2020,126
Le Plateau-Mont-Royal,2021,140
Le Plateau-Mont-Royal,2022,146
Le Plateau-Mont-Royal,2023,140
Le Sud-Ouest,2016,75
Le Sud-Ouest,2017,82
Le Sud-Ouest,2018,124
Le Sud-Ouest,2019,154
Le Sud-Ouest,2020,114
Le Sud-Ouest,2021,128
Le Sud-Ouest,2022,86
Le Sud-Ouest,2023,84
Mercier - Hochelaga-Maisonneuve,2016,125
Mercier - Hochelaga-Maisonneuve,2017,113
Mercier - Hochelaga-Maisonneuve,2018,149
Mercier - Hochelaga-Maisonneuve,2019,179
Mercier - Hochelaga-Maisonneuve,2020,223
Mercier - Hochelaga-Maisonneuve,2021,216
Mercier - Hochelaga-Maisonneuve,2022,279
Mercier - Hochelaga-Maisonneuve,2023,189
Montréal-Nord,2016,52
Montréal-Nord,2017,30
Montréal-Nord,2018,43
Montréal-Nord,2019,68
Montréal-Nord,2020,30
Montréal-Nord,2021,34
Montréal-Nord,2022,51
Montréal-Nord,2023,52
Outremont,2016,165
Outremont,2017,125
Outremont,2018,92
Outremont,2019,202
Outremont,2020,187
Outremont,2021,201
Outremont,2022,160
Outremont,2023,147
Rivière-des-Prairies - Pointe-aux-Trembles,2016,42
Rivière-des-Prairies - Pointe-aux-Trembles,2017,43
Rivière-des-Prairies - Pointe-aux-Trembles,2018,55
Rivière-des-Prairies - Pointe-aux-Trembles,2019,75
Rivière-des-Prairies - Pointe-aux-Trembles,2020,76
Rivière-des-Prairies - Pointe-aux-Trembles,2021,82
Rivière-des-Prairies - Pointe-aux-Trembles,2022,56
Rivière-des-Prairies - Pointe-aux-Trembles,2023,40
Rosemont - La Petite-Patrie,2016,161
Rosemont - La Petite-Patrie,2017,155
Rosemont - La Petite-Patrie,2018,203
Rosemont - La Petite-Patrie,2019,185
Rosemont - La Petite-Patrie,2020,185
Rosemont - La Petite-Patrie,2021,267
Rosemont - La Petite-Patrie,2022,207
Rosemont - La Petite-Patrie,2023,156
Ville-Marie,2016,85
Ville-Marie,2017,76
Ville-Marie,2018,115
Ville-Marie,2019,127
Ville-Marie,2020,113
Ville-Marie,2021,111
Ville-Marie,2022,93
Ville-Marie,2023,92
Villeray - Saint-Michel - Parc-Extension,2016,148
Villeray - Saint-Michel - Parc-Extension,2017,176
Villeray - Saint-Michel - Parc-Extension,2018,183
Villeray - Saint-Michel - Parc-Extension,2019,183
Villeray - Saint-Michel - Parc-Extension,2020,109
Villeray - Saint-Michel - Parc-Extension,2021,187
Villeray - Saint-Michel - Parc-Extension,2022,139
Villeray - Saint-Michel - Parc-Extension,2023,146
