no_demande,id_permis,date_debut,date_emission,emplacement,arrondissement,code_type_base_demande,description_type_demande,description_type_batiment,description_categorie_batiment,nature_travaux,nb_logements,longitude,latitude,loc_x,loc_y,annee,nature_travaux_clean
3000806042,3000870573,2014-07-17,2019-09-13, 1716  rue Leprohon,Le Sud-Ouest,TR,Transformation,Résidentiel,3 Logements,"Agrandissement en aire  du bâtiment, tel que plans soumis.Travaux de structure.Travaux exterieurs.",0.0,-73.58690679082488,45.45982127692948,298003.38,5035547.27,2019,"agrandissement en aire  du bâtiment, tel que plans soumis.travaux de structure.travaux exterieurs."
3000881618,3000749033,2014-09-04,2018-12-11, 4144  avenue de l' Hôtel-de-Ville,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,3 Logements,"Agrandir en aire de bâtiment vers l'arrière, ajouter un étage et une mezzanine. Aménager un nouveau logement et réaménager les logements existant. Aménager une case de stationnement pour vélo.",1.0,-73.57904589533062,45.51919648430337,298624.64,5042145.01,2018,"agrandir en aire de bâtiment vers l'arrière, ajouter un étage et une mezzanine. aménager un nouveau logement et réaménager les logements existant. aménager une case de stationnement pour vélo."
3000734044,3000533668,2013-11-28,2016-01-13, 4622  avenue De Lorimier,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,2 Logements,"Suite au permis: 3000239957-12, réunir les logements du rez-de-chaussée et le logement du 2e étage.Transformer deux logements en 1 seul.Ajouter un escalier de communication entre le rdc et le 2e étage. Aucun travaux extérieur.",-1.0,-73.57451003686487,45.535843415697535,298980.72,5043994.67,2016,"suite au permis: 3000239957-12, réunir les logements du rez-de-chaussée et le logement du 2e étage.transformer deux logements en 1 seul.ajouter un escalier de communication entre le rdc et le 2e étage. aucun travaux extérieur."
3000726324,3000641934,2013-10-24,2017-04-10,  100  rue du Séminaire,Le Sud-Ouest,TR,Transformation,Résidentiel,Mixte,Agrandissement du batiment sur 8 étages pour l'ajout de 63 logements et 63 unités de stationnement intérieur tels qu'aux plans.,63.0,,,,,2017,agrandissement du batiment sur 8 étages pour l'ajout de 63 logements et 63 unités de stationnement intérieur tels qu'aux plans.
3000741506,3000629313,2014-01-16,2017-01-31, 5040  chemin de la Côte-Saint-Paul,Le Sud-Ouest,TR,Transformation,Résidentiel,1 Logement,"Transformation d'un duplex en unifamiliale; réaménagement intérieur et modification de la structure.(Gyps type X 5/8 requis, pour les séparations et mur coupe feu).Retrait de l'adresse civique 5042",-1.0,-73.5926794156218,45.470798720529295,297553.34,5036767.69,2017,"transformation d'un duplex en unifamiliale; réaménagement intérieur et modification de la structure.(gyps type x 5/8 requis, pour les séparations et mur coupe feu).retrait de l'adresse civique 5042"
3000754550,3000538014,2014-03-24,2016-04-04, 4660  chemin Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Résidentiel,12 Logements +,"AU SOUS-SOL, DEPLACER LA BUANDERIE DANS UNE PARTIE DE LA SALLE MECANIQUE. AGRANDIR LE LOGEMENT # 4 EN AIRE DE PLANCHER DANS L'ESPACE DE BUANDERIE. AUCUN TRAVAUX EXTERIEURS.",0.0,-73.62365740392784,45.48939455259995,295134.33,5038837.51,2016,"au sous-sol, deplacer la buanderie dans une partie de la salle mecanique. agrandir le logement # 4 en aire de plancher dans l'espace de buanderie. aucun travaux exterieurs."
3000760626,3000535898,2014-04-17,2016-03-03, 4376  rue Clark,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,5 à 11 Logements ,"Suite au permis 300061207-09, à l'intérieur réaménager les logements sur les 3 étages.  Au toit, modifier la position et la volumétrie des appentis d'escaliers d'accès au toit. Revêtement en clin de fibrociment.",0.0,,,,,2016,"suite au permis 300061207-09, à l'intérieur réaménager les logements sur les 3 étages.  au toit, modifier la position et la volumétrie des appentis d'escaliers d'accès au toit. revêtement en clin de fibrociment."
3000949422,3000574236,2015-01-26,2016-09-07, 6875  rue Marquette,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,4 Logements,AJOUTER DEUX ÉTAGES + MEZZANINE & AGRANDIR LE BÂTIMENT À L'ARRIÈRE.AMENAGER QUATRE LOGEMENTS . CREUSER PARTIELLEMENT LE S/SOL EXISTANT CÔTÉ NORD-EST. AMÉNAGER DEUX ESPACES DE STATIONNEMENT DANS LA COUR ARRIÈRE.  AUCUNS TRAVAUX AFFECTANT LE MUR MITOYEN AUTORISÉS. TEL QUE DOCUMENTS APPROUVÉS.,3.0,,,,,2016,ajouter deux étages + mezzanine & agrandir le bâtiment à l'arrière.amenager quatre logements . creuser partiellement le s/sol existant côté nord-est. aménager deux espaces de stationnement dans la cour arrière.  aucuns travaux affectant le mur mitoyen autorisés. tel que documents approuvés.
3001018689,3000537777,2015-06-12,2016-03-30, 3140  rue de Mayenne,Montréal-Nord,TR,Transformation,Résidentiel,Bifamiliale,RÉFECTION DU MUR DE BRIQUE SITUÉ À L'ARRIÈRE DU BÂTIMENT,0.0,-73.64893097434424,45.58122903231301,293177.76,5049046.53,2016,réfection du mur de brique situé à l'arrière du bâtiment
3001005889,3000537314,2015-05-19,2016-03-22,12404  rue Jasmin,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,1 Logement,"Renouveler le permis N° 3000431642-14, remplacer une partie du mur de fondation,  ajouter un sous-oeuvre et imperméabiliser la fondation.",0.0,-73.73482756110833,45.5258394045408,286456.56,5042907.03,2016,"renouveler le permis n° 3000431642-14, remplacer une partie du mur de fondation,  ajouter un sous-oeuvre et imperméabiliser la fondation."
3000954442,3000534015,2015-01-28,2016-01-21, 4116  rue Berri,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,1 Logement,"Au toit, ajout d'une mezzanine de 32.29m² avec toit en pente et revêtement en clin de bois et fibrociment avec terrasse à l'arrière. À l'intérieur au mur privatif nord existant, ajouter du placoplâtre pour une résistance au feu de 2 heures.",0.0,-73.57622765920146,45.52215399324511,298845.13,5042473.47,2016,"au toit, ajout d'une mezzanine de 32.29m² avec toit en pente et revêtement en clin de bois et fibrociment avec terrasse à l'arrière. à l'intérieur au mur privatif nord existant, ajouter du placoplâtre pour une résistance au feu de 2 heures."
3001001241,3000572394,2015-05-12,2016-09-01, 6800  avenue Casgrain,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,5 à 11 Logements ,AJOUTER MEZZANINES AU TOIT ET RÉAMÉNAGEMENT 3E ÉTAGES TEL QUE PLANS,0.0,-73.61259717478296,45.53356920725146,296005.73,5043745.4,2016,ajouter mezzanines au toit et réaménagement 3e étages tel que plans
3001006467,3000542369,2015-05-20,2016-05-10,  371  rue Delinelle,Le Sud-Ouest,TR,Transformation,Résidentiel,2 Logements,Agrandissement du volume  en arrière. Transformation du bâtiment de 02 logements en un bâtiment de 01 logement.,-1.0,-73.58778255791202,45.47311411128387,297936.51,5037024.57,2016,agrandissement du volume  en arrière. transformation du bâtiment de 02 logements en un bâtiment de 01 logement.
3000981278,3000541673,2015-03-19,2016-05-05, 3230  rue Claude-Jodoin,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,5 à 11 Logements ,"À L'ARRIÈRE DU LOGEMENT 3228, AMÉNAGER UNE MEZZANINE À MÊME L'ENTRETOÎT, TEL QUE DOCUMENTS SOUMIS.",0.0,-73.56596398154555,45.547876934853335,299649.27,5045331.38,2016,"à l'arrière du logement 3228, aménager une mezzanine à même l'entretoît, tel que documents soumis."
3000909961,3000620137,2014-12-04,2016-12-07, 6596  avenue Casgrain,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,3 Logements,"AJOUTER UN 3E ÉTAGE POUR AGRANDIR LE LOGEMENT DU 2E ÉTAGE. À L'ARRIÈRE, RÉAMÉNAGER UNE TERRASSE SUR LE TOIT DU RC ET AMÉNAGER UNE TERRASSE SUR LE TOIT DU 2E ÉTAGE. TEL QUE PLANS.",-1.0,-73.60930846092505,45.53206166130716,296262.37,5043577.51,2016,"ajouter un 3e étage pour agrandir le logement du 2e étage. à l'arrière, réaménager une terrasse sur le toit du rc et aménager une terrasse sur le toit du 2e étage. tel que plans."
3000950605,3000598694,2015-01-26,2016-10-19, 4529  rue De Bullion,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,2 Logements,"À l'arrière au niveau du 2e, agrandissement en aire de bâtiment de 10.68m²",0.0,-73.58552680202659,45.52211963485717,298118.68,5042470.39,2016,"à l'arrière au niveau du 2e, agrandissement en aire de bâtiment de 10.68m²"
3000894838,3000545470,2014-10-03,2016-06-01,  210  rue Beaubien Est,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,1 Logement,AJOUTER UN TROISIÈME ÉTAGE AFIN D'AGRANDIR LE LOGEMENT SITUÉ AU 2E ÉTAGE.,0.0,-73.60647578803378,45.53198452091815,296483.6,5043568.64,2016,ajouter un troisième étage afin d'agrandir le logement situé au 2e étage.
3000907619,3000686995,2014-11-21,2017-12-15, 1189  rue Saint-Marc,Ville-Marie,TR,Travaux d'agrandissement,Résidentiel,1 Logement,"Agrandir le 3e étage de ±5 m² en façade pour y ajouter un escalier d'issue intérieur du RC au 3e étage. Au toit du 3e étage, ajouter une construction hors toit de ± 55m² et une terrasse en façade. Au 2e étage, en façade, aménager une terrasses et à l'arrière, remplacer l'escalier d'issue en acier du 3e étage au toit, tel qu'aux plans approuvés.",0.0,-73.57819891403057,45.49184500311841,298687.85,5039105.36,2017,"agrandir le 3e étage de ±5 m² en façade pour y ajouter un escalier d'issue intérieur du rc au 3e étage. au toit du 3e étage, ajouter une construction hors toit de ± 55m² et une terrasse en façade. au 2e étage, en façade, aménager une terrasses et à l'arrière, remplacer l'escalier d'issue en acier du 3e étage au toit, tel qu'aux plans approuvés."
3000971798,3000549666,2015-02-16,2016-06-28, 4318  avenue Bourbonnière,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,3 Logements,"AJOUTER UN 3e ÉTAGE.AFIN D' Y AMÉNAGER UN 3E LOGEMENT. À L'ARRIÈRE, AGRANDIR L' AIRE DE PLANCHER DU 2E ÉTAGE EXISTANT,AMÉNAGER UNE COUR ANGLAISE POUR ACCÉDER À L'ESPACE DE RANGEMENT AU S/SOL & AMÉN.2 NOUV.UNITÉS DE STATIONT EXTRES P/AUTOMOBILES. AGRANDIR LOGT DU RDC DANS UNE PARTIE DU S/SOL, RÉAMÉNAGER LOGT DU 2E, RÉNOVER LA FAÇADE ET L'ÉLÉVATION ARRIÈRE.TEL QUE DOCUMENTS.",1.0,-73.55707617028268,45.552234833120046,300343.61,5045815.15,2016,"ajouter un 3e étage.afin d' y aménager un 3e logement. à l'arrière, agrandir l' aire de plancher du 2e étage existant,aménager une cour anglaise pour accéder à l'espace de rangement au s/sol & amén.2 nouv.unités de stationt extres p/automobiles. agrandir logt du rdc dans une partie du s/sol, réaménager logt du 2e, rénover la façade et l'élévation arrière.tel que documents."
3000979693,3000714032,2015-03-12,2018-04-04,10035  rue Francis,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,1 Logement,"Ajouter un 2ème étage, réaménager le rez-de-chaussée. Remplacer les revêtements des murs extérieurs. Murs latéral et arrière: modifier des ouvertures. Remplacer les galeries et les escaliers avant et arrière.",0.0,-73.65180998800584,45.56294024210516,292949.24,5047014.48,2018,"ajouter un 2ème étage, réaménager le rez-de-chaussée. remplacer les revêtements des murs extérieurs. murs latéral et arrière: modifier des ouvertures. remplacer les galeries et les escaliers avant et arrière."
3001000483,3000628394,2015-05-11,2017-01-17, 5855  avenue du Parc,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,5 à 11 Logements ,"Au rez-de-chaussée et au sous-sol, transformer une clinique médicale en 2 logements, (1 logement sur les deux niveaux et l'autre au RC seulement). Enlever un stationnement en cour arrière et faire un aménagement paysager conformément à la résolution CA15 25 0206 et tel qu'aux plans approuvés.",2.0,-73.60629953344322,45.52432353899635,296496.24,5042717.25,2017,"au rez-de-chaussée et au sous-sol, transformer une clinique médicale en 2 logements, (1 logement sur les deux niveaux et l'autre au rc seulement). enlever un stationnement en cour arrière et faire un aménagement paysager conformément à la résolution ca15 25 0206 et tel qu'aux plans approuvés."
3000884875,3000538323,2014-09-16,2016-04-06, 5408  15e Avenue,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,2 Logements,"AU TOIT, CONSTRUIRE UNE MEZZANINE POUR LE LOGEMENT #5410 TEL QUE PLANS",0.0,,,,,2016,"au toit, construire une mezzanine pour le logement #5410 tel que plans"
