"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"4620000.00","462","Montréal","0000.00",4291732.00,4.60,919.00,41.30,65.20,18.00,150110.00,758875.00,183500.00,2.30,38400.00,34000.00,12.00,10.80,18.30,162255.00,161680.00,3021825.00,1022940.00,140535.00,229570.00,998235.00,837475.00,357915.00,12.70,27.90,880.00,981.00,122850.00,416000.00
"4620001.00","462","Montréal","0001.00",2684.00,1.70,5780.70,42.30,69.60,16.80,465.00,860.00,0.00,1.90,36800.00,33200.00,14.50,13.70,17.50,75.00,55.00,1995.00,520.00,70.00,150.00,610.00,770.00,330.00,23.00,24.70,840.00,846.00,175.00,344000.00
"4620002.00","462","Montréal","0002.00",3780.00,7.50,9797.80,41.20,67.20,16.30,395.00,1165.00,165.00,1.90,35600.00,32000.00,17.40,15.20,29.20,160.00,100.00,3045.00,645.00,55.00,200.00,750.00,1200.00,435.00,13.90,27.70,790.00,818.00,125.00,324000.00
"4620003.00","462","Montréal","0003.00",6600.00,3.60,8917.70,41.30,65.10,18.10,855.00,1705.00,15.00,2.20,33600.00,30400.00,15.80,14.10,19.40,260.00,190.00,4920.00,1530.00,170.00,390.00,1195.00,1835.00,600.00,19.90,19.70,800.00,832.00,245.00,452000.00
"4620004.00","462","Montréal","0004.00",3355.00,5.60,7505.60,42.80,67.80,18.20,345.00,955.00,0.00,2.00,37200.00,33200.00,14.00,13.50,19.60,180.00,75.00,2445.00,640.00,125.00,145.00,625.00,1000.00,395.00,20.60,26.40,770.00,836.00,150.00,400000.00
"4620005.00","462","Montréal","0005.00",3175.00,3.80,5617.50,42.40,66.50,18.40,430.00,945.00,0.00,1.90,35200.00,31200.00,16.10,13.90,24.00,95.00,90.00,2720.00,370.00,65.00,75.00,530.00,1125.00,370.00,18.10,24.30,820.00,854.00,190.00,400000.00
"4620006.00","462","Montréal","0006.00",4611.00,3.20,7137.80,38.10,67.30,13.50,370.00,1465.00,5.00,2.20,30400.00,28200.00,17.20,15.60,24.00,255.00,295.00,3200.00,1100.00,215.00,390.00,460.00,1585.00,395.00,21.70,18.60,795.00,817.00,240.00,448000.00
"4620007.00","462","Montréal","0007.00",5655.00,-0.50,5187.60,43.50,66.90,19.10,460.00,1515.00,105.00,2.00,37200.00,32800.00,13.90,12.40,22.00,165.00,160.00,4315.00,1165.00,155.00,250.00,1445.00,1425.00,490.00,12.80,21.60,730.00,774.00,260.00,400000.00
"4620008.00","462","Montréal","0008.00",3104.00,2.90,4996.00,41.40,69.10,15.10,400.00,745.00,30.00,2.00,41600.00,36800.00,12.70,11.40,14.80,50.00,140.00,2590.00,340.00,90.00,90.00,785.00,745.00,250.00,13.40,20.10,800.00,834.00,95.00,400000.00
"4620009.00","462","Montréal","0009.00",3554.00,2.40,828.20,39.70,71.60,13.30,460.00,975.00,5.00,2.10,34400.00,30800.00,14.70,13.70,19.20,105.00,225.00,2570.00,670.00,75.00,225.00,645.00,1050.00,310.00,17.20,19.00,850.00,876.00,180.00,400000.00
"4620010.00","462","Montréal","0010.00",1494.00,1.00,1611.50,39.90,70.90,14.00,255.00,410.00,0.00,2.00,35200.00,31400.00,12.90,11.20,21.00,25.00,60.00,1125.00,350.00,45.00,95.00,300.00,445.00,160.00,20.30,22.20,860.00,916.00,50.00,400000.00
"4620011.00","462","Montréal","0011.00",6439.00,-2.80,5154.90,46.50,61.00,25.50,380.00,1610.00,245.00,2.00,38400.00,34000.00,13.90,10.90,27.20,205.00,160.00,3990.00,1570.00,210.00,385.00,1385.00,1445.00,520.00,14.10,22.50,755.00,801.00,210.00,452000.00
"4620012.01","462","Montréal","0012.01",2547.00,1.80,10710.70,41.10,63.10,19.60,135.00,1140.00,10.00,2.00,27400.00,26200.00,25.30,21.60,33.60,160.00,165.00,1800.00,610.00,100.00,200.00,135.00,1175.00,275.00,19.20,21.80,765.00,776.00,95.00,600000.00
"4620012.02","462","Montréal","0012.02",4163.00,3.20,10502.00,42.40,64.50,20.40,205.00,1680.00,175.00,1.90,28200.00,26600.00,24.70,22.70,32.80,275.00,385.00,2270.00,1325.00,200.00,340.00,215.00,1835.00,505.00,24.40,25.10,790.00,814.00,165.00,552000.00
"4620013.00","462","Montréal","0013.00",5694.00,10.20,5252.80,46.80,62.70,26.20,715.00,1780.00,245.00,1.80,39600.00,34800.00,13.60,12.60,18.20,300.00,265.00,3855.00,1155.00,140.00,250.00,1040.00,1965.00,880.00,19.80,34.80,910.00,1160.00,190.00,400000.00
"4620014.02","462","Montréal","0014.02",0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4620014.03","462","Montréal","0014.03",3363.00,0.10,8190.50,37.90,74.90,10.90,55.00,1465.00,130.00,1.90,32400.00,30000.00,22.60,19.50,43.00,170.00,235.00,2295.00,830.00,175.00,230.00,530.00,1235.00,340.00,16.20,20.40,765.00,776.00,155.00,400000.00
"4620014.04","462","Montréal","0014.04",4187.00,0.00,8543.20,40.20,78.50,11.50,150.00,2155.00,20.00,1.70,45200.00,38800.00,14.50,13.40,28.40,150.00,270.00,2905.00,885.00,115.00,175.00,1140.00,1290.00,550.00,19.20,26.10,790.00,883.00,170.00,372000.00
"4620015.00","462","Montréal","0015.00",4089.00,-0.30,10971.30,38.00,77.50,9.80,135.00,2000.00,95.00,1.80,34400.00,31200.00,19.00,16.30,44.40,120.00,180.00,3280.00,550.00,75.00,85.00,640.00,1625.00,490.00,15.70,23.80,785.00,834.00,250.00,372000.00
"4620016.00","462","Montréal","0016.00",2470.00,-2.70,4815.80,40.00,73.90,14.00,35.00,1170.00,0.00,1.90,33200.00,30200.00,18.90,16.80,32.00,60.00,60.00,1790.00,380.00,65.00,85.00,330.00,865.00,235.00,14.90,20.90,850.00,876.00,160.00,424000.00
"4620017.00","462","Montréal","0017.00",2131.00,-0.50,9504.90,38.60,75.60,10.80,30.00,1150.00,0.00,1.80,34400.00,31400.00,17.90,16.40,28.00,40.00,75.00,1775.00,250.00,0.00,85.00,375.00,840.00,300.00,18.70,26.90,810.00,830.00,125.00,348000.00
"4620018.00","462","Montréal","0018.00",2013.00,0.40,5480.50,38.30,78.20,10.20,40.00,1065.00,25.00,1.70,32800.00,29400.00,18.70,17.80,34.00,105.00,60.00,1705.00,255.00,25.00,25.00,225.00,945.00,340.00,25.00,30.50,810.00,878.00,150.00,400000.00
"4620019.00","462","Montréal","0019.00",2398.00,2.50,7227.20,40.20,73.10,15.00,75.00,1115.00,130.00,1.80,29600.00,27200.00,21.00,14.80,57.20,65.00,145.00,1965.00,260.00,20.00,75.00,360.00,925.00,190.00,20.00,13.00,795.00,836.00,170.00,448000.00
"4620021.00","462","Montréal","0021.00",3028.00,4.70,6733.40,36.90,78.30,9.40,15.00,1420.00,140.00,1.90,26600.00,25200.00,24.20,22.20,44.00,60.00,150.00,2400.00,415.00,75.00,105.00,270.00,1275.00,320.00,21.20,21.30,820.00,846.00,235.00,400000.00
"4620022.00","462","Montréal","0022.00",1527.00,-1.50,8961.30,38.50,82.60,8.90,60.00,780.00,5.00,1.80,32400.00,29400.00,15.30,13.70,31.00,40.00,70.00,1225.00,200.00,15.00,60.00,180.00,690.00,200.00,17.10,24.80,860.00,890.00,95.00,376000.00
"4620023.00","462","Montréal","0023.00",1238.00,-3.40,3429.40,37.10,80.20,8.50,55.00,615.00,0.00,1.80,31400.00,29000.00,20.20,17.20,42.00,70.00,30.00,1020.00,210.00,55.00,30.00,175.00,515.00,125.00,11.40,20.60,820.00,836.00,85.00,332000.00
"4620024.00","462","Montréal","0024.00",2544.00,-3.90,9161.00,37.20,80.30,9.40,60.00,1265.00,45.00,1.80,31000.00,28400.00,18.50,15.50,43.00,160.00,130.00,1920.00,490.00,95.00,95.00,325.00,1075.00,275.00,20.00,20.10,820.00,888.00,185.00,400000.00
"4620025.00","462","Montréal","0025.00",3018.00,0.10,13515.50,37.80,75.80,10.90,45.00,1475.00,0.00,1.90,32800.00,30000.00,17.60,15.90,33.50,135.00,150.00,2280.00,415.00,55.00,115.00,360.00,1175.00,390.00,15.30,28.90,850.00,902.00,275.00,348000.00
"4620026.00","462","Montréal","0026.00",2519.00,-2.40,14410.80,38.90,79.00,11.10,50.00,1385.00,65.00,1.70,35600.00,31600.00,19.50,15.40,48.00,125.00,165.00,1940.00,490.00,40.00,75.00,485.00,1050.00,330.00,20.80,21.20,810.00,854.00,145.00,348000.00
"4620027.00","462","Montréal","0027.00",1629.00,-1.30,17147.40,36.80,81.60,8.00,100.00,815.00,0.00,1.80,33200.00,30200.00,15.60,14.60,31.00,80.00,100.00,1185.00,300.00,25.00,75.00,200.00,695.00,205.00,20.50,23.20,830.00,902.00,125.00,472000.00
"4620028.00","462","Montréal","0028.00",2058.00,-0.90,13091.60,36.10,81.00,7.50,10.00,1125.00,0.00,1.80,37600.00,33200.00,14.90,13.50,33.00,120.00,135.00,1640.00,305.00,10.00,75.00,295.00,865.00,280.00,29.30,23.50,890.00,958.00,105.00,448000.00
"4620029.00","462","Montréal","0029.00",4027.00,9.50,10027.40,38.20,76.40,11.60,165.00,1890.00,35.00,1.80,33600.00,30200.00,16.50,14.20,34.50,175.00,365.00,2865.00,700.00,85.00,110.00,405.00,1680.00,415.00,16.00,20.80,830.00,852.00,275.00,380000.00
"4620030.00","462","Montréal","0030.00",3506.00,12.00,11620.80,38.60,79.50,11.70,85.00,1965.00,0.00,1.70,33600.00,30600.00,21.60,20.50,32.50,210.00,450.00,2210.00,680.00,115.00,170.00,515.00,1540.00,580.00,15.50,33.30,850.00,932.00,200.00,400000.00
"4620031.00","462","Montréal","0031.00",2803.00,5.40,10889.70,37.80,80.40,9.60,185.00,1220.00,55.00,1.70,31800.00,29200.00,20.60,21.30,24.00,110.00,315.00,1960.00,500.00,65.00,115.00,440.00,1160.00,425.00,20.70,29.10,820.00,910.00,170.00,500000.00
"4620032.00","462","Montréal","0032.00",1497.00,-7.00,12180.60,36.80,84.00,7.30,115.00,760.00,50.00,1.60,32800.00,29600.00,22.60,22.40,39.00,95.00,210.00,915.00,350.00,20.00,85.00,205.00,725.00,275.00,28.60,29.90,750.00,852.00,120.00,500000.00
"4620033.00","462","Montréal","0033.00",1752.00,1.00,11428.60,37.20,81.80,9.10,150.00,785.00,0.00,1.80,30000.00,27600.00,21.70,20.40,42.00,130.00,125.00,1265.00,355.00,40.00,65.00,195.00,805.00,295.00,36.80,28.00,860.00,898.00,135.00,500000.00
