"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"0010000.00","001","St. John's","0000.00",205955.00,4.60,255.90,40.30,69.40,14.80,20870.00,6705.00,550.00,2.40,12.00,11.00,12.70,38569.00,34069.00,2690.00,3005.00,192165.00,8130.00,1450.00,1415.00,59535.00,25485.00,18340.00,13.50,40.60,902.00,927.00,3595.00,319478.00
"0010001.00","001","St. John's","0001.00",1734.00,-16.00,171.70,41.40,69.40,15.60,120.00,10.00,0.00,2.50,23.90,20.30,25.50,26096.00,24592.00,10.00,0.00,1630.00,15.00,10.00,0.00,405.00,255.00,150.00,9.80,43.10,701.00,712.00,60.00,250318.00
"0010002.00","001","St. John's","0002.00",4538.00,-6.60,2288.50,46.00,65.60,23.00,445.00,245.00,150.00,2.10,15.50,13.30,17.20,34286.00,30891.00,170.00,85.00,3795.00,310.00,40.00,150.00,1235.00,880.00,620.00,16.30,47.40,852.00,878.00,115.00,289902.00
"0010003.01","001","St. John's","0003.01",4223.00,-3.70,2612.30,44.40,67.40,20.00,695.00,345.00,0.00,2.10,17.60,16.00,15.70,32808.00,29745.00,45.00,85.00,3905.00,175.00,25.00,65.00,1015.00,915.00,520.00,13.30,42.10,902.00,864.00,110.00,299416.00
"0010003.02","001","St. John's","0003.02",4710.00,-4.30,2399.60,41.90,69.80,16.80,790.00,480.00,0.00,2.10,20.50,17.30,17.70,33485.00,30343.00,55.00,80.00,4565.00,215.00,25.00,60.00,1255.00,980.00,635.00,18.30,41.60,876.00,860.00,130.00,290532.00
"0010004.00","001","St. John's","0004.00",7893.00,5.20,858.80,38.50,73.40,13.10,1070.00,635.00,5.00,2.20,28.10,25.60,22.30,26588.00,24847.00,260.00,320.00,6985.00,525.00,65.00,210.00,1610.00,2020.00,1200.00,18.30,45.10,874.00,854.00,175.00,288952.00
"0010005.01","001","St. John's","0005.01",2313.00,-6.70,2387.20,46.00,69.10,21.40,110.00,360.00,0.00,1.80,32.20,27.70,43.40,23716.00,22885.00,10.00,20.00,2265.00,70.00,15.00,10.00,630.00,625.00,420.00,23.00,44.00,603.00,686.00,85.00,250127.00
"0010005.02","001","St. John's","0005.02",3227.00,-6.50,3271.80,38.80,74.30,12.50,275.00,365.00,5.00,2.10,33.50,31.50,24.40,24896.00,23445.00,30.00,115.00,3000.00,160.00,15.00,55.00,685.00,880.00,505.00,19.00,42.90,833.00,767.00,170.00,249935.00
"0010006.00","001","St. John's","0006.00",2904.00,-7.00,2732.70,41.20,78.80,12.90,160.00,380.00,60.00,1.80,26.90,24.30,26.00,26976.00,24917.00,75.00,55.00,2765.00,195.00,15.00,85.00,665.00,965.00,570.00,19.50,46.10,795.00,866.00,185.00,230301.00
"0010007.00","001","St. John's","0007.00",2172.00,-5.40,4055.30,40.10,82.00,10.40,60.00,540.00,0.00,1.70,24.80,23.50,25.00,29424.00,27029.00,70.00,80.00,1745.00,180.00,25.00,35.00,510.00,680.00,450.00,21.40,49.60,867.00,993.00,75.00,285457.00
