"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39"
"4620000.00","462","Montréal","0000.00",1723925.00,765485.00,423420.00,36.00,777.00,842.00,8.10,300794.00,961760.00,765545.00,15.50,111595.00,54054.00,194800.00,61790.00,53738.00,15.30,14.80,33040.00,29665.00,4098927.00,4.20,1727310.00,890.20,40.60,66.70,16.40,711775.00,151365.00,2.30,179265.00,70865.00,3002625.00,936305.00,117890.00,204725.00
"4620001.00","462","Montréal","0001.00",1335.00,700.00,390.00,36.00,731.00,778.00,0.00,297350.00,640.00,700.00,22.70,105.00,51840.00,180.00,53333.00,46592.00,18.90,18.50,31629.00,28718.00,2638.00,1.20,1328.00,5710.00,42.50,71.70,15.90,795.00,5.00,1.90,45.00,10.00,2285.00,405.00,55.00,120.00
"4620002.00","462","Montréal","0002.00",1770.00,1045.00,560.00,38.10,727.00,757.00,12.90,259273.00,720.00,1050.00,22.20,130.00,48256.00,255.00,48311.00,42848.00,20.40,17.90,30296.00,27512.00,3516.00,15.70,1762.00,9029.30,41.10,68.00,16.40,1015.00,155.00,2.00,70.00,20.00,2880.00,435.00,60.00,130.00
"4620003.00","462","Montréal","0003.00",2935.00,1770.00,800.00,30.00,711.00,745.00,8.50,323884.00,1170.00,1770.00,22.60,235.00,46592.00,435.00,50459.00,44871.00,18.30,17.50,30149.00,27539.00,6373.00,2.20,2937.00,8612.20,42.00,67.80,16.70,1685.00,15.00,2.10,275.00,40.00,4780.00,1430.00,205.00,310.00
"4620004.00","462","Montréal","0004.00",1600.00,1010.00,415.00,30.20,692.00,727.00,4.00,330575.00,595.00,1010.00,18.50,95.00,50304.00,200.00,49126.00,43282.00,18.90,18.60,31152.00,28208.00,3176.00,-2.60,1603.00,7087.70,43.80,69.60,18.30,900.00,0.00,1.90,100.00,40.00,2700.00,400.00,85.00,125.00
"4620005.00","462","Montréal","0005.00",1575.00,1005.00,515.00,39.00,702.00,720.00,0.00,324554.00,570.00,1005.00,23.50,125.00,47744.00,190.00,47232.00,41941.00,19.70,19.20,30443.00,27616.00,3060.00,-3.30,1593.00,5418.80,43.10,69.40,17.30,930.00,0.00,1.90,125.00,20.00,2620.00,395.00,45.00,105.00
"4620006.00","462","Montréal","0006.00",1960.00,1445.00,605.00,31.60,713.00,763.00,6.20,349548.00,525.00,1440.00,28.80,180.00,40256.00,380.00,46259.00,41792.00,26.90,25.00,26496.00,24800.00,4467.00,0.20,1993.00,6891.40,38.20,69.10,12.90,1445.00,0.00,2.20,195.00,35.00,3400.00,840.00,145.00,325.00
"4620007.00","462","Montréal","0007.00",2810.00,1360.00,640.00,33.10,682.00,725.00,14.30,300514.00,1445.00,1360.00,13.10,225.00,49536.00,360.00,52949.00,46512.00,17.00,16.00,32361.00,29081.00,5682.00,-0.70,2809.00,5210.50,43.10,69.30,17.50,1470.00,105.00,2.00,300.00,30.00,4445.00,1175.00,200.00,280.00
"4620008.00","462","Montréal","0008.00",1495.00,705.00,275.00,24.60,701.00,743.00,2.80,300922.00,785.00,710.00,12.70,135.00,58368.00,165.00,59213.00,50674.00,11.80,11.70,36275.00,31927.00,3016.00,2.50,1465.00,4842.60,41.40,70.30,14.60,705.00,30.00,2.10,75.00,10.00,2745.00,395.00,95.00,95.00
"4620009.00","462","Montréal","0009.00",1665.00,975.00,395.00,28.40,735.00,759.00,1.50,299474.00,695.00,980.00,16.50,195.00,48512.00,215.00,51738.00,45495.00,17.10,16.90,31081.00,28151.00,3470.00,-0.50,1640.00,813.80,40.10,73.70,12.40,920.00,5.00,2.10,110.00,75.00,2840.00,585.00,75.00,160.00
"4620010.00","462","Montréal","0010.00",700.00,440.00,200.00,36.40,758.00,760.00,0.00,299285.00,255.00,440.00,15.40,35.00,46080.00,90.00,50880.00,44928.00,18.90,16.40,30059.00,27607.00,1479.00,3.60,701.00,1605.00,40.30,71.50,12.90,390.00,5.00,2.00,120.00,0.00,1195.00,285.00,40.00,70.00
"4620011.00","462","Montréal","0011.00",2825.00,1400.00,580.00,28.60,703.00,730.00,16.80,348676.00,1425.00,1400.00,13.00,140.00,52608.00,285.00,55922.00,48576.00,17.70,14.40,34359.00,30808.00,6622.00,5.40,2826.00,5301.80,46.20,61.00,25.40,1615.00,235.00,2.00,315.00,55.00,4230.00,1495.00,220.00,360.00
"4620012.01","462","Montréal","0012.01",1310.00,1175.00,420.00,31.50,721.00,758.00,3.40,400512.00,130.00,1175.00,33.30,85.00,42880.00,170.00,40768.00,36508.00,24.80,22.30,25015.00,23829.00,2502.00,3.60,1315.00,10525.90,43.30,65.00,21.00,1175.00,10.00,1.90,155.00,20.00,1775.00,705.00,80.00,115.00
"4620012.02","462","Montréal","0012.02",2015.00,1795.00,625.00,31.10,713.00,749.00,7.00,400975.00,230.00,1790.00,31.10,105.00,46400.00,210.00,40192.00,36608.00,27.50,26.20,25344.00,23979.00,4034.00,-0.10,2016.00,10176.60,43.20,65.70,20.70,1625.00,175.00,1.90,525.00,75.00,2455.00,1345.00,140.00,300.00
"4620013.00","462","Montréal","0013.00",2755.00,1705.00,865.00,37.50,731.00,967.00,9.70,324680.00,1055.00,1705.00,21.00,190.00,57472.00,210.00,51572.00,44715.00,16.60,16.90,33920.00,30379.00,5166.00,7.10,2704.00,4764.80,47.90,63.20,26.40,1450.00,280.00,1.80,180.00,50.00,3995.00,820.00,105.00,230.00
"4620014.01","462","Montréal","0014.01",4090.00,2460.00,1170.00,35.00,675.00,708.00,19.90,278957.00,1630.00,2460.00,19.40,330.00,41856.00,335.00,47872.00,42240.00,26.90,25.20,30941.00,28022.00,7545.00,12.50,4090.00,8375.00,38.30,77.60,9.90,3515.00,155.00,1.80,480.00,270.00,5295.00,1840.00,375.00,415.00
"4620014.02","462","Montréal","0014.02",,,,,,,,,,,,,,,,,,,,,0.00,-100.00,1.00,0.00,,,,,,,,,,,,
"4620015.00","462","Montréal","0015.00",2205.00,1540.00,740.00,34.30,701.00,745.00,20.10,268622.00,665.00,1545.00,31.80,215.00,39872.00,245.00,46438.00,40960.00,26.60,23.60,30485.00,27528.00,4103.00,1.50,2206.00,10883.30,37.00,76.90,8.80,1960.00,100.00,1.80,150.00,65.00,3270.00,545.00,100.00,115.00
