Variable,N,Moyenne,Médiane,Min,Max,Écart-type
Augmentation du loyer 2016-2021 (%),13,15.18,14.05,8.51,28.44,5.08
Augmentation valeur immobilière 2016-2021 (%),13,37.53,35.51,25.48,64.69,10.07
Augmentation du revenu 2016-2021 (%),13,0.17,0.17,0.13,0.24,0.03
Variation ratio loyer/revenu,13,-0.56,-0.68,-2.73,1.4,1.25
Nombre de listings Airbnb,13,505.92,216.0,16.0,2611.0,740.12
% locataires (2021),13,65.13,67.5,35.61,72.6,9.66
Revenu médian 2021 ($),13,34378.27,35035.0,27833.33,41023.81,3610.8
Loyer médian 2021 ($),13,905.71,873.42,790.28,1118.31,102.96
Loyer médian 2016 ($),13,785.64,763.0,700.72,942.26,73.64
Densité population (hab/km²),13,8905.78,8815.63,3738.28,14334.96,2856.85
% immigrants récents (2021),13,5.29,5.45,1.69,8.57,1.67
% faible revenu (2021),13,17.61,16.62,9.68,26.75,4.05
Évictions RCLALQ 2023,13,177.38,135.0,10.0,591.0,161.27
