Arrondissement,Évictions 2023,Airbnb,Loyer 2016 ($),Loyer 2021 ($),Hausse loyer (%),Revenu médian ($),% Locataires,Densité
Rosemont-La Petite-Patrie,591.0,494.0,751.12,863.66,15.0,38648.78,68.29,10773.55
Le Plateau-Mont-Royal,391.0,1437.0,907.72,1056.81,16.4,36021.28,70.3,14334.96
Ahuntsic-Cartierville,217.0,147.0,700.72,837.76,19.6,35500.0,60.54,6692.69
Villeray-Saint-Michel-Parc-Extension,215.0,216.0,725.73,827.68,14.0,30834.15,71.64,12060.77
Mercier-Hochelaga-Maisonneuve,204.0,368.0,721.42,815.38,13.0,35035.0,66.7,7740.99
Côte-des-Neiges-Notre-Dame-de-Grâce,190.0,541.0,836.03,950.0,13.6,32557.89,71.04,10163.38
Montréal-Nord,135.0,16.0,717.78,790.28,10.1,27833.33,71.69,8815.63
Le Sud-Ouest,95.0,510.0,763.0,885.72,16.1,35848.0,67.5,8246.98
Ville-Marie,94.0,2611.0,942.26,1118.31,18.7,32647.62,72.6,11369.8
Verdun,85.0,102.0,806.76,1036.19,28.4,41023.81,64.11,9188.78
Rivière-des-Prairies-Pointe-aux-Trembles,66.0,28.0,755.7,843.26,11.6,37573.91,35.61,3738.28
LaSalle,13.0,73.0,778.05,873.42,12.3,32473.68,63.48,5793.94
Saint-Léonard,10.0,34.0,807.05,875.75,8.5,30920.0,63.17,6855.41
