Arrondissement,Évictions 2023,Airbnb,Loyer 2016 ($),Loyer 2021 ($),Hausse loyer (%),Revenu médian ($),% Locataires,Densité
Rosemont-La Petite-Patrie,591.0,494.0,751.1219512195122,863.6585365853658,15.0,38648.78048780488,68.2895672451349,10773.547619047618
Le Plateau-Mont-Royal,391.0,1437.0,907.7234042553192,1056.8085106382978,16.4,36021.27659574468,70.29697256987568,14334.95625
Ahuntsic-Cartierville,217.0,147.0,700.7241379310345,837.7586206896551,19.6,35500.0,60.54175596969055,6692.693333333334
Villeray-Saint-Michel-Parc-Extension,215.0,216.0,725.7317073170732,827.6829268292682,14.0,30834.146341463416,71.63773270556449,12060.771428571428
Mercier-Hochelaga-Maisonneuve,204.0,368.0,721.4166666666666,815.375,13.0,35035.0,66.69731839309068,7740.9853658536595
Côte-des-Neiges-Notre-Dame-de-Grâce,190.0,541.0,836.0263157894736,950.0,13.6,32557.894736842107,71.04326238364285,10163.382051282051
Montréal-Nord,135.0,16.0,717.7777777777778,790.2777777777778,10.1,27833.33333333333,71.69345736741589,8815.633333333333
Le Sud-Ouest,95.0,510.0,763.0,885.72,16.1,35848.0,67.50284188960804,8246.978571428572
Ville-Marie,94.0,2611.0,942.2619047619048,1118.309523809524,18.7,32647.61904761905,72.6040559629444,11369.797674418603
Verdun,85.0,102.0,806.7647058823529,1036.190476190476,28.4,41023.80952380953,64.10772922892542,9188.777272727271
Rivière-des-Prairies-Pointe-aux-Trembles,66.0,28.0,755.695652173913,843.2608695652174,11.6,37573.91304347826,35.61480126562855,3738.2782608695647
LaSalle,13.0,73.0,778.0526315789474,873.421052631579,12.3,32473.68421052632,63.47791431535687,5793.936842105263
Saint-Léonard,10.0,34.0,807.05,875.75,8.5,30920.0,63.1742216348484,6855.410000000001
